id,category,name,address,symbol,tvl,mcap,slug,7dma_%,1mma_%,Volume_7d_%,Volume_1m_%
1544,Yield,Concentrator,ethereum:0xb3Ad645dB386D7F6D753B2b9C3F4B853DA6890B8,CTR,57979953.96741796,0.0,concentrator,-0.019878491844607993,-0.003676773135401712,,
2817,Indexes,Agility LSD,0x5f18ea482ad5cc6bc65803817c99f477043dce85,AGI,57900677.4300457,0.0,agility-lsd,-0.14891699292971905,-0.035355785913453786,,
160,Yield,Homora V2,0xa1faa113cbe53436df28ff0aee54275c13b40975,ALPHA,57873717.5555606,103232428.05556174,homora-v2,-0.000464781465663755,-0.0006639429976786904,,
1018,Derivatives,Gains Network,polygon:0xe5417af564e4bfda1c483642db72007871397896,GNS,57625085.180414535,172198618.8505823,gains-network,-2.2351766193473566e-05,0.0020102638103483006,,
2417,Dexes,THENA V1,bsc:0xf4c8e32eadec4bfe97e0f595add0f4450a863a11,THE,57287960.77397169,6907397.879369501,thena-v1,-0.015483692219575351,-0.015253366855187411,-33.26,-49.71
1738,Liquid Staking,Bifrost Liquid Staking,kusama:-,BNC,56570199.71281075,3596741.154909785,bifrost-liquid-staking,-0.03237035023843282,0.0035096599571813325,,
425,Yield,Tranchess,bsc:0x20de22029ab63cf9A7Cf5fEB2b737Ca1eE4c82A6,CHESS,56392070.25893716,27336325.77500493,tranchess,0.00018524982758805209,-0.0013941969977658841,,
2226,Yield,Wombex Finance,bsc:0xa75d9ca2a0a1D547409D82e1B06618EC284A2CeD,WMX,56125456.947399944,2423020.290424096,wombex-finance,-0.003268093411627482,0.016250352206979013,,
204,Synthetics,Alchemix,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,ALCX,55019413.23332343,31872524.300558485,alchemix,0.0037086514199897724,0.0026399498087881224,,
854,Dexes,xExchange,elrond:MEX-455c57,MEX,54403907.328663,22838349.428953424,xexchange,0.006285356937504094,-0.009110007091873373,-39.25,-24.82
449,CDP,QiDao,polygon:0x580a84c73811e1839f75d86d75d88cca0c241ff4,QI,53908518.32725148,5565589.946346484,qidao,-0.019794742089439432,-0.003622118521416917,,
334,Dexes,MDEX,bsc:0x9c65ab58d8d978db963e63f2bfb7121627e3a739,MDX,52491568.095431685,71216157.4270759,mdex,-0.001884178161743466,-0.005204018668550914,-44.78,-69.31
208,Yield Aggregator,ACryptoS,bsc:0x4197c6ef3879a08cd51e5560da5064b773aa1d29,ACS,50798502.949999996,2455531.9889774346,acryptos,-0.004581763915000536,0.005003506826499304,,
1494,Dexes,Minswap,cardano:asset1d9v7aptfvpx7we2la8f25kwprkj2ma5rp6uwzv,MIN,50101055.97293521,0.0,minswap,-0.004783278235932609,-0.00228624621697171,-13.02,-28.52
121,Lending,CREAM Finance,0x2ba592F78dB6436527729929AAf6c908497cB200,CREAM,48735378.05443028,11570415.196010878,cream-finance,0.00013468964845930742,0.0003007374781658356,,
2266,Yield Aggregator,Kava Earn,,-,48717007.371039614,,kava-earn,0.034199164871859145,0.006880305202814352,,
1556,Bridge,Terra Bridge,,-,48686756.71028656,,terra-bridge,-0.00817628122343328,-0.006333264363628799,,
2262,Liquid Staking,Kava Liquid,,-,48600476.00540503,,kava-liquid,0.03357193864939245,0.006904832146008566,,
468,Dexes,Trader Joe DEX,avax:0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd,JOE,48439808.352717154,,trader-joe-dex,-0.010546877080878647,-0.006173370095606812,-17.13,-69.28
2728,Dexes,SyncSwap,,-,47674238.41630615,,syncswap,0.03724117984539954,0.020554706373365317,,
612,Lending,Vires Finance,waves:DSbbhLsSTeDg5Lsiufk2Aneh3DjVqJuPr2M9uU1gwy5p,VIRES,46408582.24555452,3043046.1422511907,vires-finance,0.002081769979641379,0.000554250638559628,,
304,Dexes,Flamingo Finance,,FLM,45807943.74906472,43314893.32509276,flamingo-finance,0.0009104266897430602,-0.001964491696798687,80.05,45.66
123,Lending,dForce,0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0,DF,45801033.780571654,25237223.696960315,dforce,0.008229703067669902,0.001153990101635971,,
331,Lending,MoneyOnChain,rsk:0x9AC7fE28967B30E3A4e6e03286d715b42B453D10,MOC,44924319.38677298,,moneyonchain,0.003061611658509822,-0.0011685549680995333,,
643,Lending,Geist Finance,fantom:0xd8321AA83Fb0a4ECd6348D4577431310A6E0814d,GEIST,44427290.025666006,4223259.699923897,geist-finance,-0.0038477195322281776,0.0014152471031960712,,
2461,Bridge,Ad-Astra Bridge,,-,43937291.989137694,,ad-astra-bridge,0.010362695606094263,-0.0014103583352447213,,
